"ID","LATITUDE","LONGITUTDE","COUNTRY","DESCRIPTION","GRAPES","NAME","REGION","YEAR"
"103",,,"France",,,"Mission Haut Brion, Pessac Léognan","Bordeaux","2005"
"2",,,"France",,,"Aile d'Argent, Bordeaux Blanc (Mouton Rothschild)","Bordeaux","1991"
"3",,,"France",,,"Angélus, Saint Emilion","Bordeaux","2012"
"4",,,"France",,,"Angélus, Saint Emilion","Bordeaux","2002"
"5",,,"France",,,"Angélus, Saint Emilion","Bordeaux","2002"
"6",,,"France",,,"Arche (Château d'), Sauternes","Bordeaux","1996"
"7",,,"France",,,"Armailhac (d'), Pauillac","Bordeaux","1989"
"8",,,"France",,,"Armailhac (d'), Pauillac","Bordeaux","1989"
"9",,,"France",,,"Arrosée (l'), Saint Emilion Grand Cru","Bordeaux","2003"
"10",,,"France",,,"Arrosée (l'), Saint Emilion Grand Cru MAGNUM","Bordeaux","2003"
"11",,,"France",,,"Ausone, Saint Emilion ","Bordeaux","1976"
"12",,,"France",,,"Ausone, Saint Emilion ","Bordeaux","1961"
"13",,,"France",,,"Baron Philippe de Rothschild, Sauternes","Bordeaux","1988"
"14",,,"France",,,"Batailley, Pauillac DEMI-BOUTEILLE (37,5cl)","Bordeaux","2010"
"15",,,"France",,,"Brillette, Moulis","Bordeaux","2010"
"16",,,"France",,,"Carbonnieux Blanc, Pessac Léognan","Bordeaux","2000"
"17",,,"France",,,"Carbonnieux Rouge, Pessac Léognan","Bordeaux","2000"
"18",,,"France",,,"Cazebonne, Entre Amis Blanc Graves","Bordeaux","2020"
"19",,,"France",,,"Cazebonne, Entre Amis Blanc Graves","Bordeaux","2019"
"20",,,"France",,,"Cazebonne, Entre Amis Rouge Graves","Bordeaux","2019"
"21",,,"France",,,"Cazebonne, Entre Amis Rouge Graves","Bordeaux","2017"
"22",,,"France",,,"Cazebonne, Le Grand Vin Blanc Graves","Bordeaux","2019"
"23",,,"France",,,"Cazebonne, Le Grand Vin Rouge Graves","Bordeaux","2019"
"24",,,"France",,,"Cazebonne, Les Parcellaires Argile Ocre de Bouché Graves Blanc","Bordeaux","2019"
"25",,,"France",,,"Cazebonne, Les Parcellaires Astéries de Darche Graves Rouge","Bordeaux","2019"
"26",,,"France",,,"Cazebonne, Les Parcellaires Duo de Darche Graves Rouge","Bordeaux","2019"
"27",,,"France",,,"Cazebonne, Les Parcellaires Feldspath de Peyron (Malbec) Graves Rouge","Bordeaux","2019"
"28",,,"France",,,"Cazebonne, Les Parcellaires Feldspath de Peyron (Sauvignon) Graves Blanc","Bordeaux","2019"
"29",,,"France",,,"Cazebonne, Les Parcellaires Galets de Cazebonne Blanc de Macération Graves Blanc","Bordeaux","2019"
"30",,,"France",,,"Cazebonne, Les Parcellaires Galets de Cazebonne Graves Rouge","Bordeaux","2019"
"31",,,"France",,,"Clerc Milon, Pauillac","Bordeaux","2018"
"32",,,"France",,,"Climens, Barsac","Bordeaux","2005"
"33",,,"France",,,"Climens, Barsac","Bordeaux","1925"
"34",,,"France",,,"Clos du Marquis, Saint Julien","Bordeaux","2003"
"35",,,"France",,,"Clos Haut Peyraguey, Sauternes","Bordeaux","2010"
"36",,,"France",,,"Clos René, Pomerol","Bordeaux","2005"
"37",,,"France",,,"Cos d'Estournel, Saint Estèphe","Bordeaux","2005"
"38",,,"France",,,"Cos d'Estournel, Saint Estèphe","Bordeaux","2002"
"39",,,"France",,,"Despagne Rapin, Louis Rapin Montagne Saint Emilion BIODYNAMIE","Bordeaux","2014"
"40",,,"France",,,"Despagne Rapin, Maison Blanche Montagne Saint Emilion","Bordeaux","2006"
"41",,,"France",,,"Despagne Rapin, Maison Blanche Montagne Saint Emilion BIODYNAMIE","Bordeaux","2014"
"42",,,"France",,,"Despagne Rapin, Montagne Saint Emilion BIODYNAMIE","Bordeaux","2016"
"43",,,"France",,,"Despagne Rapin, Vinum Simplex VDF - étiquette bleue (Cabernet Franc) - BIODYNAMIE","Bordeaux","NM"
"44",,,"France",,,"Despagne Rapin, Vinum Simplex VDF - étiquette rouge (Merlot) - BIODYNAMIE","Bordeaux","NM"
"45",,,"France",,,"Domaine de Grandmaison, Pessac Léognan","Bordeaux","2014"
"46",,,"France",,,"Eglise Clinet (l'), Pomerol","Bordeaux","2005"
"47",,,"France",,,"Fargues, Sauternes","Bordeaux","2007"
"48",,,"France",,,"Fargues, Sauternes","Bordeaux","1999"
"49",,,"France",,,"Fetyt Clinet, Pomerol","Bordeaux","2011"
"50",,,"France",,,"Fleur de Boüard, Lalande Pomerol","Bordeaux","2004"
"51",,,"France",,,"Gay (le) 2nd vin - Croix de Gay (la), Pomerol","Bordeaux","1989"
"52",,,"France",,,"Gazin, Pomerol","Bordeaux","1928"
"53",,,"France",,,"Giscours, Margaux","Bordeaux","2011"
"54",,,"France",,,"Giscours, Margaux","Bordeaux","2006"
"55",,,"France",,,"Giscours, Margaux","Bordeaux","2000"
"56",,,"France",,,"Gruaud Larose 2nd vin - Sarget de Gruaud Larose, Saint Julien","Bordeaux","2000"
"57",,,"France",,,"Guiraud, Sauternes","Bordeaux","1980"
"58",,,"France",,,"Guiraud, Sauternes","Bordeaux","1980"
"59",,,"France",,,"Haut Bages Libéral, Pauillac","Bordeaux","1990"
"60",,,"France",,,"Haut Bailly, Pessac Léognan","Bordeaux","1970"
"61",,,"France",,,"Haut Brion 2nd vin - Clarence Haut Brion, Pessac Léognan","Bordeaux","2008"
"62",,,"France",,,"Haut Brion, Pessac Léognan","Bordeaux","2008"
"63",,,"France",,,"Haut Brion, Pessac Léognan","Bordeaux","1957"
"64",,,"France",,,"Haut Marbuzet, Saint Estèphe","Bordeaux","2005"
"65",,,"France",,,"JCP Maltus Château Teyssier, Saint Emilion Grand Cru","Bordeaux","2018"
"66",,,"France",,,"JCP Maltus Lacroix, Bordeaux Supérieur","Bordeaux","2018"
"67",,,"France",,,"JCP Maltus Laforge, Saint Emilion Grand Cru","Bordeaux","2011"
"68",,,"France",,,"JCP Maltus Pezat Blanc, Bordeaux","Bordeaux","2016"
"69",,,"France",,,"JCP Maltus Pezat Blanc, Bordeaux","Bordeaux","2015"
"70",,,"France",,,"JCP Maltus Pezat Blanc, Bordeaux","Bordeaux","2013"
"71",,,"France",,,"JCP Maltus Pezat Rouge, Bordeaux Supérieur","Bordeaux","2012"
"72",,,"France",,,"Lafaurie Peyraguey, Sauternes","Bordeaux","1988"
"73",,,"France",,,"Lafite Rothschild 2nd vin -  Carruades de Lafite, Pauillac","Bordeaux","2001"
"74",,,"France",,,"Lagune (la), Haut Médoc","Bordeaux","2003"
"75",,,"France",,,"Larose Trintaudon, Haut Médoc","Bordeaux","2004"
"76",,,"France",,,"Larose Trintaudon, Haut Médoc","Bordeaux","2004"
"77",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1995"
"78",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1995"
"79",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1995"
"80",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1995"
"81",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1993"
"82",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1993"
"83",,,"France",,,"Louvière (la), Pessac Léognan","Bordeaux","1993"
"84",,,"France",,,"Lynch Bages, Pauillac","Bordeaux","2003"
"85",,,"France",,,"Magdelaine, Saint Emilion Grand Cru","Bordeaux","2005"
"86",,,"France",,,"Magdelaine, Saint Emilion Grand Cru","Bordeaux","1975"
"87",,,"France",,,"Magdelaine, Saint Emilion Grand Cru","Bordeaux","1975"
